Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
1000/Double/+,4.998325466346123e-6,4.9846700969557274e-6,5.0234740400150595e-6,6.034459254630697e-8,4.257317480483046e-8,8.035675325014431e-8
1000/Double/-,5.0200978970127935e-6,5.007052886739944e-6,5.0424920955319945e-6,6.065162012023699e-8,4.10553645483241e-8,9.062324197136139e-8
1000/Double/*,4.988804597314763e-6,4.980949100760107e-6,5.0029524790739564e-6,3.3704321574310713e-8,1.989150861091668e-8,5.182755559954083e-8
1000/Double//,6.551839132242216e-6,6.544087461883633e-6,6.5661201357292196e-6,3.398532554976121e-8,2.2637648420230056e-8,5.7311988208782756e-8
1000/Double/abs,8.856824053257944e-6,8.832402494389964e-6,8.889021089918712e-6,9.45347376362261e-8,7.73069742315781e-8,1.306780485867805e-7
1000/Double/signum,8.075342478838886e-6,8.057426501429454e-6,8.099908590259626e-6,7.142808749823527e-8,5.782583534782859e-8,1.0163927440593586e-7
1000/Double/fromRational,6.26991420231781e-5,6.24728852802309e-5,6.29458780526594e-5,7.859088548849566e-7,6.74198350597408e-7,9.510809071373294e-7
1000/Double/toRational,1.3758948844539607e-5,1.3725123494458368e-5,1.3794018640076558e-5,1.1325255991254474e-7,9.336995157275128e-8,1.6245346156237986e-7
1000/Double/show,5.664597214234813e-4,5.653625928218966e-4,5.677603665185995e-4,3.9119506300640135e-6,3.197123568279899e-6,4.508821896445003e-6
1000/Double/read,8.114675722407031e-4,8.100343034119511e-4,8.138159612119043e-4,6.111891504602868e-6,4.806559539297456e-6,9.518388426028313e-6
1000/Decimal Int 5/+,3.4559400346685673e-6,3.4550884282566295e-6,3.45721439236072e-6,3.4143602184420553e-9,2.3538306226378564e-9,5.916650872681698e-9
1000/Decimal Int 5/-,3.4662353346000864e-6,3.4614437406373354e-6,3.485844079235058e-6,2.6955326401632084e-8,7.017790220456937e-9,5.4219652038251756e-8
1000/Decimal Int 5/*,6.9326074483316475e-6,6.895421609041132e-6,6.998601930380043e-6,1.6316337350666532e-7,1.1249163895106165e-7,2.2422198138730957e-7
1000/Decimal Int 5//,6.899634632181573e-6,6.888234608362558e-6,6.925035087165018e-6,5.4696582009485766e-8,3.23402765111279e-8,1.0049630383067745e-7
1000/Decimal Int 5/abs,8.924834305534453e-6,8.874943338294054e-6,9.00529266576948e-6,2.025254245198753e-7,1.451046186173694e-7,2.8430037418296494e-7
1000/Decimal Int 5/signum,8.107795538206563e-6,8.087824394647224e-6,8.126231149251808e-6,6.257265930831631e-8,5.578495822859177e-8,6.95418518303933e-8
1000/Decimal Int 5/fromRational,9.341315699951828e-5,9.327885662261567e-5,9.361187094675975e-5,5.288437579578491e-7,3.7645880685406113e-7,7.548290443489213e-7
1000/Decimal Int 5/toRational,4.91441705793952e-5,4.9121209502607e-5,4.9181148818568954e-5,9.795782844933588e-8,7.325991475948124e-8,1.3341192611338293e-7
1000/Decimal Int 5/show,1.0056195427396095e-4,1.002864525623493e-4,1.0086812432185364e-4,9.802790751573977e-7,7.658159277084326e-7,1.30849705864128e-6
1000/Decimal Int 5/read,1.0573912666172565e-3,1.0510277253372145e-3,1.0642207202727287e-3,2.2346759310931882e-5,1.8053583138774076e-5,2.543815293695074e-5
1000/Decimal Int128 10/+,3.4875200706499506e-6,3.4861523043684872e-6,3.4917625060097336e-6,7.138961332460254e-9,3.1012005214775107e-9,1.4733055528269758e-8
1000/Decimal Int128 10/-,3.4941343419099045e-6,3.4920827414501776e-6,3.4973893088524175e-6,8.359560857003368e-9,6.078396550482674e-9,1.0653765117858505e-8
1000/Decimal Int128 10/*,3.27637255669903e-5,3.268825293881642e-5,3.286357965409171e-5,2.8916951075736436e-7,2.405112180982398e-7,3.464555765957914e-7
1000/Decimal Int128 10//,3.2906444410809856e-5,3.283370277296539e-5,3.298881293397924e-5,2.679735172102087e-7,2.2432022967388768e-7,2.986953827511805e-7
1000/Decimal Int128 10/abs,8.825845383617631e-6,8.805726040531162e-6,8.852428184927913e-6,7.908054570913266e-8,7.231810634642262e-8,9.471061321373072e-8
1000/Decimal Int128 10/signum,8.087315767033886e-6,8.0659431710386e-6,8.112488883059396e-6,7.607910150157029e-8,6.79698592640895e-8,9.079320927323904e-8
1000/Decimal Int128 10/fromRational,2.0157824540088825e-4,2.0016505185015273e-4,2.0351482629583976e-4,5.628919022820042e-6,4.047040225135299e-6,7.123963334533179e-6
1000/Decimal Int128 10/toRational,5.803710442630901e-5,5.7987627130158024e-5,5.811958427049259e-5,2.174361505587279e-7,1.5373065086968442e-7,3.6166514022922753e-7
