Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
1000/Double/+,6.495018624410599e-6,6.481085349716653e-6,6.54489684450229e-6,8.381626355538208e-8,1.1433031237122083e-8,1.763495793685165e-7
1000/Double/-,6.48398964007241e-6,6.481298038955514e-6,6.48949231224221e-6,1.3670618969476082e-8,7.17333920261787e-9,2.4961448039163602e-8
1000/Double/*,6.479359622594175e-6,6.4779304859248835e-6,6.4821128251334555e-6,6.656698079031769e-9,3.829766661490284e-9,1.2311130018362884e-8
1000/Double//,9.692633245752344e-6,9.69128978141068e-6,9.695109945412188e-6,6.16124979303643e-9,3.3367541224828093e-9,1.0658940679000059e-8
1000/Double/abs,1.923079960004005e-5,1.8969245365062077e-5,1.9497599511208702e-5,8.92346027058472e-7,7.324456897387502e-7,1.1272656984403649e-6
1000/Double/signum,1.4992186326057754e-5,1.4959853814377027e-5,1.5063061278341987e-5,1.6551300616454979e-7,7.104147674313998e-8,3.2105404438944795e-7
1000/Double/fromRational,1.029513348300359e-4,1.0276190843795954e-4,1.0323101616383183e-4,7.6819839218689e-7,5.705579662696119e-7,1.0121573809835603e-6
1000/Double/toRational,3.0028892478609026e-5,2.9802035992002378e-5,3.022207119952021e-5,7.410961192966117e-7,5.775638433416034e-7,1.140926095782733e-6
1000/Double/show,8.286311117294348e-4,8.251049574651565e-4,8.346168410776123e-4,1.5120579212951733e-5,9.479560593758367e-6,2.6369105928364883e-5
1000/Double/read,1.428287541626866e-3,1.4245243321542313e-3,1.432002114374151e-3,1.2905073368352408e-5,1.0446484897440608e-5,1.6569388160242084e-5
1000/Decimal Int 5/+,2.2030343758916807e-6,2.2011005215820206e-6,2.2073114166528413e-6,9.230460873372487e-9,4.8984276669761194e-9,1.7776280421088523e-8
1000/Decimal Int 5/-,2.6147288430185215e-6,2.4827617817568654e-6,2.7396610871342642e-6,4.0737545315906194e-7,3.704899883533382e-7,4.398669658231365e-7
1000/Decimal Int 5/*,4.032342870931968e-6,4.030733153712033e-6,4.0356010757938805e-6,7.4482589568277e-9,3.812169611123194e-9,1.3178970384039744e-8
1000/Decimal Int 5//,4.042033597821993e-6,4.03850151279676e-6,4.054076850794836e-6,2.0144166363534198e-8,7.854967657358075e-9,4.2689838027708236e-8
1000/Decimal Int 5/abs,1.628109284901711e-5,1.6122825748628267e-5,1.646752900412305e-5,6.089743026372053e-7,5.375983296647649e-7,7.525339205765107e-7
1000/Decimal Int 5/signum,1.5068154904285807e-5,1.5055538404248797e-5,1.5092243942999227e-5,5.82703354082452e-8,3.2712616547737945e-8,9.277338398807948e-8
1000/Decimal Int 5/fromRational,1.3997582116185154e-4,1.3894785866591452e-4,1.4097302794617266e-4,3.367335859791823e-6,3.0154541065696647e-6,3.6125761901080104e-6
1000/Decimal Int 5/toRational,7.711192294147813e-5,7.702686256071368e-5,7.722902689138859e-5,3.4128451538111635e-7,2.4169845639564963e-7,4.896247667282036e-7
1000/Decimal Int 5/show,1.30607338916473e-4,1.30408467929353e-4,1.3092404594519105e-4,8.605459370644581e-7,6.270585492966073e-7,1.430169553918496e-6
1000/Decimal Int 5/read,1.7948952465773685e-3,1.792484960186397e-3,1.8002874046387307e-3,1.1066086411928259e-5,7.014096115533374e-6,1.968613513860835e-5
1000/Decimal Int128 10/+,3.73860196770031e-6,3.7370213725441013e-6,3.74220139457747e-6,7.415691279151868e-9,4.054838828874975e-9,1.3749401392675124e-8
1000/Decimal Int128 10/-,3.849219599598434e-6,3.5474421400948652e-6,4.146679640647669e-6,9.423151113152444e-7,8.368931589208426e-7,1.0221618369284643e-6
1000/Decimal Int128 10/*,4.6733482233036965e-5,4.634559608941023e-5,4.7088888446525e-5,1.2366715173393026e-6,1.0508900982866944e-6,1.4868991844387238e-6
1000/Decimal Int128 10//,4.65425650186876e-5,4.650102125058426e-5,4.663606034310106e-5,1.9913038245880068e-7,8.318857690215731e-8,4.114427133557992e-7
1000/Decimal Int128 10/abs,1.717722982289519e-5,1.7070067954729152e-5,1.7286296672738805e-5,3.9543096968815356e-7,3.4565110196368606e-7,4.6088651306490337e-7
1000/Decimal Int128 10/signum,1.4551884350772183e-5,1.4495735159918499e-5,1.4672018757031914e-5,2.6095308445912985e-7,1.5030311959785624e-7,3.9993237651077616e-7
1000/Decimal Int128 10/fromRational,2.8959959892520465e-4,2.8844742233756455e-4,2.907647473328786e-4,3.968408809723326e-6,3.2273733931374033e-6,5.088464133913735e-6
1000/Decimal Int128 10/toRational,9.243399449195595e-5,9.222079103526498e-5,9.265371281181417e-5,7.324535749752855e-7,6.413769503279085e-7,8.61104786152621e-7
1000/Decimal Int128 10/show,2.2907534325218717e-4,2.2831433918087528e-4,2.2965071783572578e-4,2.255191710805569e-6,1.6550900661408455e-6,3.0592346464626714e-6
1000/Decimal Int128 10/read,2.0664870047022625e-3,2.0633318802448695e-3,2.0733265072187122e-3,1.4625849104657223e-5,8.431421995967078e-6,2.715627322669378e-5
1000/Decimal Int256 25/+,5.6096709661189655e-6,5.581327727961542e-6,5.7152519983761105e-6,1.6443946879661433e-7,2.6360837375027594e-8,3.4459490171046284e-7
1000/Decimal Int256 25/-,8.88017115651777e-6,8.873796185542786e-6,8.89651485150912e-6,3.239575849169421e-8,1.2895655519848675e-8,5.898862602739359e-8
1000/Decimal Int256 25/*,7.570067445903722e-4,7.548511827698342e-4,7.591114923166996e-4,7.187168957049725e-6,5.757423527107881e-6,9.12565173666341e-6
1000/Decimal Int256 25//,7.529985619598592e-4,7.502869486443676e-4,7.553664365506817e-4,8.420329616468076e-6,7.2901474746975316e-6,9.916947668579707e-6
1000/Decimal Int256 25/abs,1.7352158457828323e-5,1.7160779114637798e-5,1.75396043142521e-5,6.531874503066943e-7,5.83240395477266e-7,7.272264663215261e-7
1000/Decimal Int256 25/signum,1.545224503401263e-5,1.5352100121798823e-5,1.5626458663330687e-5,4.1922533024186436e-7,2.757521645006634e-7,5.616481640518072e-7
1000/Decimal Int256 25/fromRational,1.7363737453169317e-3,1.7324078920434808e-3,1.7426599749504183e-3,1.6235327820792552e-5,9.537074291424472e-6,2.450671897323778e-5
1000/Decimal Int256 25/toRational,3.1524873687031077e-4,3.1463660616883526e-4,3.160694811518651e-4,2.291965118368114e-6,1.7345206675326236e-6,3.4040764212768795e-6
1000/Decimal Int256 25/show,5.514816682188875e-4,5.5004137982633e-4,5.530719715233274e-4,5.037131840745851e-6,4.270975155552441e-6,6.140933096424752e-6
1000/Decimal Int256 25/read,2.9519980870167314e-3,2.9395247232461585e-3,2.962031070956338e-3,3.642329986230404e-5,2.8858006816881038e-5,4.643649570879092e-5
1000/Decimal Integer 50/+,2.520899131758114e-5,2.486483552530554e-5,2.5545430964492503e-5,1.145210529442594e-6,9.066014443058012e-7,1.3717277300396495e-6
1000/Decimal Integer 50/-,2.9930615009099958e-5,2.987786184340525e-5,3.017607725475345e-5,3.079639229751778e-7,7.554389932615047e-8,6.835018319340522e-7
1000/Decimal Integer 50/*,1.0864967260522638e-4,1.0850454945477643e-4,1.0896154929357069e-4,7.246112261954986e-7,3.6375161435478006e-7,1.3025777636007466e-6
1000/Decimal Integer 50//,1.016014572072842e-4,1.0146294730243011e-4,1.0197723168607843e-4,6.800790462871589e-7,3.416878519042971e-7,1.339195438047664e-6
1000/Decimal Integer 50/abs,1.812275365414916e-5,1.7932961318859664e-5,1.8327303056210788e-5,6.532089571299217e-7,5.879207479345664e-7,7.874702904494688e-7
1000/Decimal Integer 50/signum,1.6038628630305377e-5,1.5954192127045386e-5,1.619166306384091e-5,3.662235821518159e-7,2.2355116041622732e-7,5.433118179694298e-7
1000/Decimal Integer 50/fromRational,2.8654477046567267e-4,2.860460500282975e-4,2.8728890512995245e-4,1.923294931972694e-6,1.573024487786495e-6,2.3710188616741382e-6
1000/Decimal Integer 50/toRational,2.6965993067404716e-4,2.692867348512122e-4,2.700847045250376e-4,1.3663500490514946e-6,1.2084891124866541e-6,1.547914485028758e-6
1000/Decimal Integer 50/show,6.546490525049682e-4,6.540074509436992e-4,6.553433933843669e-4,2.3560352880830017e-6,1.8573480643826178e-6,3.136444096140877e-6
1000/Decimal Integer 50/read,2.5828923915623843e-3,2.572265238553729e-3,2.612981587081091e-3,5.432327298880353e-5,2.146935792368505e-5,1.1536627837055178e-4
1000/Decimal Word64 5/+,2.2169213419811315e-6,2.213849887776764e-6,2.229516262444389e-6,1.7313871611608753e-8,4.920134576172019e-9,3.758968211864383e-8
1000/Decimal Word64 5/-,3.300638444696492e-6,3.144487162282256e-6,3.4863975893605203e-6,6.00032420971866e-7,5.448143167166315e-7,6.212666954832561e-7
1000/Decimal Word64 5/*,4.033137683581504e-6,4.031459765593774e-6,4.038830015253652e-6,8.909633759049038e-9,2.7919420915261327e-9,1.794070134309877e-8
1000/Decimal Word64 5//,4.036566521340807e-6,4.034674145552011e-6,4.041159604635277e-6,9.45958091653629e-9,3.264701069053956e-9,1.7015531370382085e-8
1000/Decimal Word64 5/abs,1.7312368331581845e-5,1.702676335724905e-5,1.756730050228133e-5,9.447366374705352e-7,8.085317780897282e-7,1.1097471223530929e-6
1000/Decimal Word64 5/signum,1.5927465082176057e-5,1.5877308057220433e-5,1.6036094502429293e-5,2.538021148702637e-7,1.0561904863586975e-7,4.900393055502846e-7
1000/Decimal Word64 5/fromRational,1.4978729652894815e-4,1.4837534622471008e-4,1.5060566201562678e-4,3.4013498229557183e-6,1.95383674496902e-6,5.3163513680062945e-6
1000/Decimal Word64 5/toRational,7.823825625884213e-5,7.780424463044744e-5,7.86885727718758e-5,1.48563473152317e-6,1.3498961972506782e-6,1.7403327748002877e-6
1000/Decimal Word64 5/show,1.3360548690886955e-4,1.3321539883032218e-4,1.339520174010378e-4,1.2528638171090756e-6,9.433264069077477e-7,1.88557962697175e-6
1000/Decimal Word64 5/read,1.7649263732369574e-3,1.7623909476733783e-3,1.7679903673951003e-3,9.41671483067036e-6,7.6238584234157e-6,1.2694570266981053e-5
1000/Decimal Word128 5/+,3.9954093874502134e-6,3.920353767625931e-6,4.050435222492305e-6,2.0409054525535223e-7,1.2195640456476038e-7,2.7810406402487874e-7
1000/Decimal Word128 5/-,4.3795741721517666e-6,4.363801609310452e-6,4.434717350032446e-6,8.225696012799554e-8,2.06541345986198e-8,1.7302637538915776e-7
1000/Decimal Word128 5/*,2.1134265955165213e-5,2.092397085951282e-5,2.1325266819122745e-5,7.022674071168374e-7,5.227499890928155e-7,1.0052520507315665e-6
1000/Decimal Word128 5//,2.0460317310386273e-5,2.0388277266237905e-5,2.0496035975029696e-5,1.7234391799787635e-7,6.49676999572171e-8,2.8311193383804664e-7
1000/Decimal Word128 5/abs,1.84569420952161e-5,1.8326522982438806e-5,1.859396990262429e-5,4.3876823031804207e-7,3.837149528435288e-7,4.6534073178988476e-7
1000/Decimal Word128 5/signum,1.613826533699506e-5,1.6039418855588702e-5,1.629067082301329e-5,3.8942416415912474e-7,2.612159892652959e-7,5.253362020828047e-7
1000/Decimal Word128 5/fromRational,2.6824362964447673e-4,2.6797078886343093e-4,2.68788807968156e-4,1.1984329957071647e-6,7.333672025981008e-7,2.05443652969326e-6
1000/Decimal Word128 5/toRational,9.420478348870514e-5,9.401053951644884e-5,9.437828913516765e-5,6.111528650709608e-7,4.59117433814482e-7,7.795770099865319e-7
1000/Decimal Word128 5/show,1.7965859563928808e-4,1.7941086319914323e-4,1.8008924006688993e-4,1.0765519008323888e-6,7.388747976888207e-7,1.8352701039151485e-6
1000/Decimal Word128 5/read,1.8460193632462178e-3,1.8382826910318627e-3,1.8762316460471827e-3,4.333023573707892e-5,1.3212266242603276e-5,9.587177531674504e-5
1000/Decimal Word256 15/+,7.42852044068783e-6,7.3864485692623265e-6,7.456214597225938e-6,1.1233036459488504e-7,7.482019335270325e-8,1.467976220852354e-7
1000/Decimal Word256 15/-,7.466279997372251e-6,7.458756421006745e-6,7.486405341547565e-6,3.9494108551190475e-8,1.5845607957418167e-8,7.53062908234441e-8
1000/Decimal Word256 15/*,1.850769612346999e-4,1.8446959630850215e-4,1.8554653431071015e-4,1.8513454815735951e-6,1.3712644458849474e-6,2.669011508652513e-6
1000/Decimal Word256 15//,1.887366488380686e-4,1.8766699867300976e-4,1.9156847020278763e-4,4.995418062281328e-6,1.734426876599557e-6,9.701557614707239e-6
1000/Decimal Word256 15/abs,1.698615454477011e-5,1.6829944637508706e-5,1.7141016302272907e-5,5.52714689311012e-7,4.6525191463806237e-7,6.878409573188425e-7
1000/Decimal Word256 15/signum,1.5828491024565576e-5,1.5718477261577526e-5,1.591433000011075e-5,3.2063004773329833e-7,2.5324377583566645e-7,3.830177913113827e-7
1000/Decimal Word256 15/fromRational,1.3157172834794208e-3,1.310356844595625e-3,1.3203897827970992e-3,1.748983139362721e-5,1.4368220267459076e-5,2.423449674369739e-5
1000/Decimal Word256 15/toRational,1.2061636459907824e-4,1.2018707183227646e-4,1.2106882704582199e-4,1.5332516987245432e-6,1.3558223798984186e-6,1.7538818540593813e-6
1000/Decimal Word256 15/show,3.6751034732710386e-4,3.6415658557800517e-4,3.6981837234678725e-4,9.099654916431882e-6,7.383257314929145e-6,1.04121507929546e-5
1000/Decimal Word256 15/read,2.6898664576677955e-3,2.682660798607501e-3,2.695968185815875e-3,2.218421455388418e-5,1.885437234059142e-5,2.590146613890033e-5
1000/DecimalRaw Integer/+,1.2199338703881237e-4,1.2020344875585034e-4,1.2355812677624162e-4,5.6729998435253604e-6,4.162512182973557e-6,8.319215887278685e-6
1000/DecimalRaw Integer/-,1.2855569475290988e-4,1.2800300866661375e-4,1.2915264659926043e-4,1.9184648438453655e-6,1.688257748775212e-6,2.384681242795584e-6
1000/DecimalRaw Integer/*,5.194472208662534e-2,5.18467430870994e-2,5.228356669510617e-2,3.0898548731516116e-4,7.712887711865615e-5,5.484176057522004e-4
1000/DecimalRaw Integer//,5.425522457271567e-2,5.4179585023874106e-2,5.4355652921149626e-2,1.5978001370467828e-4,9.71973744486849e-5,2.451326277840876e-4
1000/DecimalRaw Integer/abs,1.9191333323031563e-5,1.898797810990524e-5,1.9405949039260015e-5,6.997204316256373e-7,5.843243882431805e-7,8.25904658890865e-7
1000/DecimalRaw Integer/signum,1.5054316916363554e-5,1.5030375729628601e-5,1.512644335293883e-5,1.267307539816048e-7,5.501264532211097e-8,2.7924001841480926e-7
1000/DecimalRaw Integer/fromRational,3.984261385536992e-2,3.9760724599169635e-2,3.993344613605787e-2,1.682770951950264e-4,1.3501163789058282e-4,2.355797601582962e-4
1000/DecimalRaw Integer/toRational,3.1522798358757923e-4,3.1291691676137753e-4,3.173940563012077e-4,7.608968207647279e-6,6.6685290504625925e-6,8.526197642046485e-6
1000/DecimalRaw Integer/show,2.1844283398904493e-4,2.1770410730868956e-4,2.1917803854977087e-4,2.594476714609824e-6,2.2390995692227975e-6,3.17614838993451e-6
1000/DecimalRaw Integer/read,8.478214925356752e-4,8.420995641441526e-4,8.519682878851271e-4,1.6362739241108208e-5,1.3681866212364845e-5,2.1976630411824313e-5
