Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
1000/Double/+,6.529203915702086e-6,6.522017147299281e-6,6.536812088364046e-6,2.3934566162864418e-8,2.160405256400258e-8,2.712210421030509e-8
1000/Double/-,6.530117217958387e-6,6.524614454775071e-6,6.53869168194594e-6,2.3355908171049762e-8,1.7167660290072388e-8,3.777163635774561e-8
1000/Double/*,6.816199289524419e-6,6.810493945994655e-6,6.825721319484876e-6,2.4795914700399697e-8,2.0027145092985706e-8,3.294302333750789e-8
1000/Double//,9.908607929382e-6,9.899197541065494e-6,9.923275504553217e-6,3.776951149389196e-8,2.7984095426529686e-8,5.7132734504816755e-8
1000/Double/abs,1.6149403855859793e-5,1.60431309507299e-5,1.6269750546389134e-5,3.877027655528104e-7,3.249962050939735e-7,5.04319065528424e-7
1000/Double/signum,1.375025289142536e-5,1.3678519704792966e-5,1.3881524082289708e-5,3.2669057186683565e-7,2.1204488801057985e-7,4.7346701682514497e-7
1000/Double/fromRational,9.259542270541135e-5,9.23032972018596e-5,9.284624432432568e-5,9.68697079356025e-7,7.959725098287903e-7,1.2124269778804318e-6
1000/Double/toRational,2.45797987453894e-5,2.4346153695618736e-5,2.484921233022085e-5,8.824172064400753e-7,7.352775552888879e-7,1.0829671030241805e-6
1000/Double/show,7.752348831509162e-4,7.7317851437629e-4,7.772663147201012e-4,6.682424615054776e-6,5.1594020925376e-6,9.156712374776239e-6
1000/Double/read,1.4938239557151527e-3,1.49044520852604e-3,1.499034072453271e-3,1.458160596618051e-5,9.007470119482587e-6,2.512869085773211e-5
1000/Decimal Int 5/+,4.586098456892421e-6,4.428950343223856e-6,4.722513019857026e-6,5.059560907232469e-7,4.447736650456996e-7,5.623066995263767e-7
1000/Decimal Int 5/-,4.2867747581674376e-6,4.1696118611657165e-6,4.384936469265766e-6,3.5878416777421465e-7,2.944238692701167e-7,4.2310869120921804e-7
1000/Decimal Int 5/*,4.23331056936713e-6,4.192852684192211e-6,4.27496141342302e-6,1.4320359667695803e-7,1.3304686312639052e-7,1.5359901805325895e-7
1000/Decimal Int 5//,4.787664007694556e-6,4.7412765491154914e-6,4.870269350065296e-6,2.0880373638462391e-7,1.3124876398676601e-7,3.1427922728906464e-7
1000/Decimal Int 5/abs,1.6410343922548664e-5,1.6291892925450655e-5,1.6565004884779753e-5,4.625290030574489e-7,3.6721326314932846e-7,6.212664682640757e-7
1000/Decimal Int 5/signum,1.3663160136228303e-5,1.357655983597187e-5,1.3779410650782059e-5,3.4053949461198625e-7,2.4802132921285247e-7,4.552100615003856e-7
1000/Decimal Int 5/fromRational,1.4332052182734967e-4,1.4221213706666662e-4,1.444362333448955e-4,3.79071063575289e-6,3.143113679381965e-6,4.630049776081478e-6
1000/Decimal Int 5/toRational,7.201023743489352e-5,7.182152296527811e-5,7.225532704805211e-5,7.139641085665166e-7,5.342851477569099e-7,1.014006798799807e-6
1000/Decimal Int 5/show,1.317914367909921e-4,1.3143632207832806e-4,1.3213231764653047e-4,1.1416436112280665e-6,9.23730768845818e-7,1.4941126453447937e-6
1000/Decimal Int 5/read,1.8230924627138116e-3,1.8182749563640608e-3,1.8281485346005844e-3,1.722034834919576e-5,1.4657230835870169e-5,2.097730547763488e-5
1000/Decimal Int128 10/+,5.892643479993735e-6,5.79854044106506e-6,5.933956920510748e-6,2.1084679699414622e-7,1.0451387884891458e-7,3.491804376724414e-7
1000/Decimal Int128 10/-,5.382697354344048e-6,5.355710684455967e-6,5.420169344317873e-6,1.0222938446784756e-7,6.898325765990865e-8,1.2940250528736203e-7
1000/Decimal Int128 10/*,4.896491120044629e-5,4.877606028650523e-5,4.9163338342961094e-5,6.873163420399647e-7,5.644862153753988e-7,8.618327982105732e-7
1000/Decimal Int128 10//,4.961774054804108e-5,4.930865032355126e-5,4.982274443015056e-5,7.998654255375521e-7,5.209890676004351e-7,1.1516896361723805e-6
1000/Decimal Int128 10/abs,1.6047385857488777e-5,1.5980195251998393e-5,1.6126644664609412e-5,2.3433736848138058e-7,1.9740233498662536e-7,2.822676769678917e-7
1000/Decimal Int128 10/signum,1.3632161967870657e-5,1.360288782756142e-5,1.3678551509159583e-5,1.1778738372566913e-7,8.491632728906582e-8,2.0212987573807197e-7
